Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2016010000426,2,1,1,1,42,7,3,0,0,0,0,0,4,1,6
2016010000427,2,1,1,1,20,4,3,0,0,0,0,0,3,-1,-1
2016010000428,2,1,1,1,38,7,3,0,0,0,0,0,9,1,1
2016010000428,3,2,1,1,23,5,3,0,0,0,0,0,8,1,4
2016010000429,1,1,3,1,58,9,2,5,1,0,0,2,0,1,7
2016010000433,1,1,1,1,58,9,3,0,0,0,0,0,9,1,7
2016010000433,1,2,2,1,35,6,3,0,0,2,0,0,9,-1,-1
2016010000433,2,3,1,2,42,7,3,0,0,0,0,0,9,1,4
2016010000436,2,1,2,2,44,7,3,0,0,1,0,0,9,-1,-1
2016010000437,1,1,3,2,26,6,3,10,9,0,0,2,0,1,3
2016010000438,1,1,2,2,12,3,3,0,0,2,0,0,9,1,-1
2016010000439,1,1,1,1,20,4,3,0,0,0,0,0,9,1,9
2016010000441,1,1,1,1,40,7,3,0,0,0,0,0,9,1,2
2016010000441,1,2,2,1,42,7,3,0,0,1,0,0,9,1,1
2016010000444,1,1,2,1,24,5,3,0,0,2,0,0,9,1,5
2016010000445,1,1,2,2,16,4,3,0,0,2,0,0,9,1,8
2016010000446,1,1,1,2,75,10,3,0,0,0,0,0,9,1,4
2016010000447,1,1,1,1,29,6,3,0,0,0,0,0,9,1,4
